id;display_name;tube_types;manufacturer_scope;anode_voltage;nominal_anode_current_ma;max_anode_power_w;screen_voltage;nominal_screen_current_ma;max_screen_power_w;reason;source_sha256
MFR25_6201_PHILIPS_3919cc89bb;[BLOKADA v2.44] 6201 — Philips — READY;6201;Philips;250.0;10.0;2.5;0.0;0.0;0.0;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;38860335cd17dc7e22b4e9e60c6952caebd106481a3dc26ae4e866e347157cb3
6BY7_PHILIPS_250_100;[BLOKADA v2.44] 6BY7 — Philips — READY;6BY7;Philips;250.0;10.0;2.5;100.0;2.5;0.65;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;8e012464cdd7b74ec0cec284af4dfbe20f637a6e624d0dd0b329f42577bf9a36
MFR27_7119_E182CC_PHILIPS_4d38a8bc38;[BLOKADA v2.44] 7119 (= E182CC) — Philips — READY;7119 (= E182CC);Philips;120.0;36.0;4.5;0.0;0.0;0.0;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;85b41177103cf25dacc601ea695edebf72bda4d3a65e3801739b10596e0f2889
E182CC_PHILIPS_120V;[BLOKADA v2.44] E182CC — Philips — READY;E182CC;Philips;120.0;36.0;4.5;0.0;0.0;0.0;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;6db517ca8cf497a0a6c0c93bffaecf90bed723e8a211f6dcd54741b517d39db0
ECC186_PHILIPS_250V;[BLOKADA v2.44] ECC186 — Philips — READY;ECC186;Philips;250.0;10.5;2.75;0.0;0.0;0.0;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;9b329fcdbdb1de83475f7ecabe00eba3630cbe47a52fbd90fa316f735f0553f5
MFR25_ECC81_PHILIPS_7ab877b9c1;[BLOKADA v2.44] ECC81 — Philips — READY;ECC81;Philips;250.0;10.0;2.5;0.0;0.0;0.0;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;489c61ea7156a9f87b1da87b40ef88ab833d2b8f329ada4f16f4bfccd1517d1a
MFR21_ECC82_PHILIPS_7d85209e1a;[BLOKADA v2.44] ECC82 — Philips — READY;ECC82;Philips;250.0;10.5;2.75;0.0;0.0;0.0;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;70a952081fc3b87ab36ca071ec5ed51b1253d1cc9dfcd9c2dfb3c85741aa7023
ECL86_6GW8_PHILIPS_PENTODE;[BLOKADA v2.44] ECL86 — Philips — READY;ECL86 / 6GW8;Philips;250.0;36.0;9.0;250.0;6.0;1.8;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;9429c03755492fb27524e7aad155e11cec60d0499a7448c5c79f0efbe4088d0d
EF80_PHILIPS_250_250;[BLOKADA v2.44] EF80 — Philips — READY;EF80;Philips;250.0;10.0;2.5;250.0;2.8;0.7;"BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve; screen_point_has_less_than_5_percent_power_reserve.";5ae532095e9576286e37af999b18ca0cc53ebf4b85451e8f7654a217c533b29a
EF85_PHILIPS_250_100;[BLOKADA v2.44] EF85 — Philips — READY;EF85;Philips;250.0;10.0;2.5;100.0;2.5;0.65;BLOKADA po ponownym audycie: anode_point_has_less_than_5_percent_power_reserve.;b86174270543cb39dcf17dafebe96d23f5d4f214ccbe7a8bdea2113b72676f3a
